"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              FLOW","            FLOW_G","            FLOW_L","            FLOW_N","     FDIFF_WATER_L","        FDIFF_O2_L","    FDIFF_Toluen_L"
"                  ","                  ","               (M)","               (M)","               (M)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)"
"TIME [sec]  0.10000000E+03"
"               f 2","               g 2",  0.60000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               g 2","               h 2",  0.70000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               h 2","               i 2",  0.80000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.11460762988E-036
"               i 2","               j 2",  0.90000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               a 3","               a 2",  0.50000000000E+002,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               b 3","               b 2",  0.15000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               c 3","               c 2",  0.25000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               d 3","               d 2",  0.35000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               e 3","               e 2",  0.45000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               f 3","               f 2",  0.55000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               g 3","               g 2",  0.65000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               h 3","               h 2",  0.75000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               i 3","               i 2",  0.85000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               j 3","               j 2",  0.95000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.44466570263E-004,  0.00000000000E+000,  0.44466570263E-004,  0.00000000000E+000, -0.36130281540E-018, -0.31995341439E-024,  0.36105552313E-018
"               a 3","               b 3",  0.10000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.43719341221E-042
