"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              FLOW","            FLOW_G","            FLOW_L","            FLOW_N","     FDIFF_WATER_L","        FDIFF_O2_L","    FDIFF_Toluen_L"
"                  ","                  ","               (M)","               (M)","               (M)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)"
"TIME [sec]  0.10000000E+03"
"               g 5","               g 4",  0.65000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44427760809E-004,  0.00000000000E+000,  0.44427760809E-004,  0.00000000000E+000,  0.00000000000E+000,  0.17228260931E-024,  0.35986710911E-029
"               h 5","               h 4",  0.75000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44427760809E-004,  0.00000000000E+000,  0.44427760809E-004,  0.00000000000E+000,  0.00000000000E+000,  0.17228260931E-024,  0.35986710911E-029
"               i 5","               i 4",  0.85000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44427760809E-004,  0.00000000000E+000,  0.44427760809E-004,  0.00000000000E+000,  0.00000000000E+000,  0.17228260931E-024,  0.35986717962E-029
"               j 5","               j 4",  0.95000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44427760809E-004,  0.00000000000E+000,  0.44427760809E-004,  0.00000000000E+000,  0.00000000000E+000,  0.17228260931E-024,  0.35986710907E-029
"               a 5","               b 5",  0.10000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.26191295889E-036
"               b 5","               c 5",  0.20000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.26191295889E-036
"               c 5","               d 5",  0.30000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               d 5","               e 5",  0.40000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               e 5","               f 5",  0.50000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 5","               g 5",  0.60000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               g 5","               h 5",  0.70000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               h 5","               i 5",  0.80000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               i 5","               j 5",  0.90000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.55782029940E-049
"TIME [sec]  0.15600000E+05"
"               a 1","               b 1",  0.10000000000E+003,  0.50000000000E+000, -0.97500000000E+002, -0.24466048062E-014,  0.00000000000E+000, -0.19345106472E-014, -0.51209415902E-015,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               b 1","               c 1",  0.20000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.41324140057E-015,  0.00000000000E+000,  0.32674663568E-015,  0.86494764893E-016,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               c 1","               d 1",  0.30000000000E+003,  0.50000000000E+000, -0.97500000000E+002, -0.12005630891E-014,  0.00000000000E+000, -0.94927553181E-015, -0.25128755732E-015,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               d 1","               e 1",  0.40000000000E+003,  0.50000000000E+000, -0.97500000000E+002, -0.26723838261E-019,  0.00000000000E+000, -0.21130322935E-019, -0.55935153260E-020,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               e 1","               f 1",  0.50000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 1","               g 1",  0.60000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.21379070609E-019,  0.00000000000E+000,  0.16904258348E-019,  0.44748122608E-020,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               g 1","               h 1",  0.70000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.37729783811E-015,  0.00000000000E+000,  0.29832635133E-015,  0.78971486779E-016,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               h 1","               i 1",  0.80000000000E+003,  0.50000000000E+000, -0.97500000000E+002, -0.60721905298E-015,  0.00000000000E+000, -0.48012319774E-015, -0.12709585524E-015,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               i 1","               j 1",  0.90000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.36774353146E-014,  0.00000000000E+000,  0.29077183828E-014,  0.76971693180E-015,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               a 2","               a 1",  0.50000000000E+002,  0.50000000000E+000, -0.10000000000E+003,  0.34777817297E-002,  0.00000000000E+000,  0.27510061243E-002,  0.72677560545E-003, -0.11583554835E-007, -0.18558505510E-013,  0.11583573723E-007
"               b 2","               b 1",  0.15000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.34777817289E-002,  0.00000000000E+000,  0.27510061236E-002,  0.72677560527E-003, -0.11583554835E-007, -0.18558505517E-013,  0.11583573724E-007
"               c 2","               c 1",  0.25000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.34777817287E-002,  0.00000000000E+000,  0.27510061234E-002,  0.72677560522E-003, -0.11583554835E-007, -0.18558505485E-013,  0.11583573724E-007
"               d 2","               d 1",  0.35000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.34777817279E-002,  0.00000000000E+000,  0.27510061228E-002,  0.72677560506E-003, -0.11583554835E-007, -0.18558505490E-013,  0.11583573724E-007
"               e 2","               e 1",  0.45000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.34777817279E-002,  0.00000000000E+000,  0.27510061228E-002,  0.72677560506E-003, -0.11583554835E-007, -0.18558505490E-013,  0.11583573724E-007
"               f 2","               f 1",  0.55000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.34777817279E-002,  0.00000000000E+000,  0.27510061228E-002,  0.72677560506E-003, -0.11583554835E-007, -0.18558505490E-013,  0.11583573724E-007
"               g 2","               g 1",  0.65000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.34777817279E-002,  0.00000000000E+000,  0.27510061228E-002,  0.72677560506E-003, -0.11583554835E-007, -0.18558505490E-013,  0.11583573724E-007
"               h 2","               h 1",  0.75000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.34777817292E-002,  0.00000000000E+000,  0.27510061239E-002,  0.72677560533E-003, -0.11583554835E-007, -0.18558505487E-013,  0.11583573724E-007
"               i 2","               i 1",  0.85000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.34777817283E-002,  0.00000000000E+000,  0.27510061232E-002,  0.72677560515E-003, -0.11583554835E-007, -0.18558505501E-013,  0.11583573724E-007
"               j 2","               j 1",  0.95000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.34777817295E-002,  0.00000000000E+000,  0.27510061241E-002,  0.72677560539E-003, -0.11583554835E-007, -0.18558505493E-013,  0.11583573724E-007
"               a 2","               b 2",  0.10000000000E+003,  0.50000000000E+000, -0.10250000000E+003, -0.24008320912E-015,  0.00000000000E+000, -0.24008320912E-015,  0.00000000000E+000,  0.96778108562E-022,  0.18951198220E-025, -0.87516571850E-022
"               b 2","               c 2",  0.20000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.73549045922E-015,  0.00000000000E+000,  0.73549045922E-015,  0.00000000000E+000,  0.32259369521E-022, -0.80911771621E-025, -0.22125339332E-022
"               c 2","               d 2",  0.30000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.56899809221E-015,  0.00000000000E+000,  0.56899809221E-015,  0.00000000000E+000,  0.64518739041E-022,  0.12367502734E-025, -0.78300074999E-022
"               d 2","               e 2",  0.40000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.29552859547E-019,  0.00000000000E+000,  0.29552859547E-019,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.14576424865E-024
"               e 2","               f 2",  0.50000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 2","               g 2",  0.60000000000E+003,  0.50000000000E+000, -0.10250000000E+003, -0.54883882016E-019,  0.00000000000E+000, -0.54883882016E-019,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.12324431829E-024
"               g 2","               h 2",  0.70000000000E+003,  0.50000000000E+000, -0.10250000000E+003, -0.22785085837E-014,  0.00000000000E+000, -0.22785085837E-014,  0.00000000000E+000, -0.12903747808E-021, -0.79373525012E-026,  0.13254584942E-021
"               h 2","               i 2",  0.80000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.12743826312E-014,  0.00000000000E+000,  0.12743826312E-014,  0.00000000000E+000,  0.96778108562E-022,  0.37164038068E-025, -0.89158742400E-022
"               i 2","               j 2",  0.90000000000E+003,  0.50000000000E+000, -0.10250000000E+003,  0.62348512154E-015,  0.00000000000E+000,  0.62348512154E-015,  0.00000000000E+000, -0.12903747808E-021, -0.20181795507E-025,  0.11760012231E-021
"               a 3","               a 2",  0.50000000000E+002,  0.50000000000E+000, -0.10500000000E+003,  0.68904331278E-004,  0.00000000000E+000,  0.68904331278E-004,  0.00000000000E+000, -0.14091568263E-009, -0.73887249951E-016,  0.14091575651E-009
"               b 3","               b 2",  0.15000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.68904331183E-004,  0.00000000000E+000,  0.68904331183E-004,  0.00000000000E+000, -0.14091568259E-009, -0.73887242420E-016,  0.14091575647E-009
"               c 3","               c 2",  0.25000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.68904331478E-004,  0.00000000000E+000,  0.68904331478E-004,  0.00000000000E+000, -0.14091568257E-009, -0.73887274760E-016,  0.14091575647E-009
"               d 3","               d 2",  0.35000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.68904331705E-004,  0.00000000000E+000,  0.68904331705E-004,  0.00000000000E+000, -0.14091568255E-009, -0.73887269813E-016,  0.14091575643E-009
"               e 3","               e 2",  0.45000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.68904331705E-004,  0.00000000000E+000,  0.68904331705E-004,  0.00000000000E+000, -0.14091568255E-009, -0.73887269813E-016,  0.14091575643E-009
"               f 3","               f 2",  0.55000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.68904331705E-004,  0.00000000000E+000,  0.68904331705E-004,  0.00000000000E+000, -0.14091568255E-009, -0.73887269813E-016,  0.14091575643E-009
"               g 3","               g 2",  0.65000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.68904331705E-004,  0.00000000000E+000,  0.68904331705E-004,  0.00000000000E+000, -0.14091568255E-009, -0.73887269813E-016,  0.14091575643E-009
"               h 3","               h 2",  0.75000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.68904330796E-004,  0.00000000000E+000,  0.68904330796E-004,  0.00000000000E+000, -0.14091568260E-009, -0.73887272988E-016,  0.14091575649E-009
"               i 3","               i 2",  0.85000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.68904331304E-004,  0.00000000000E+000,  0.68904331304E-004,  0.00000000000E+000, -0.14091568256E-009, -0.73887258122E-016,  0.14091575645E-009
"               j 3","               j 2",  0.95000000000E+003,  0.50000000000E+000, -0.10500000000E+003,  0.68904331550E-004,  0.00000000000E+000,  0.68904331550E-004,  0.00000000000E+000, -0.14091568261E-009, -0.73887266170E-016,  0.14091575650E-009
"               a 3","               b 3",  0.10000000000E+003,  0.50000000000E+000, -0.10750000000E+003, -0.17182744034E-017,  0.00000000000E+000, -0.17182744034E-017,  0.00000000000E+000,  0.00000000000E+000,  0.12305901054E-027, -0.83042484173E-028
"               b 3","               c 3",  0.20000000000E+003,  0.50000000000E+000, -0.10750000000E+003, -0.24064285256E-017,  0.00000000000E+000, -0.24064285256E-017,  0.00000000000E+000,  0.00000000000E+000, -0.61529505268E-028,  0.12943110700E-026
"               c 3","               d 3",  0.30000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.24275375477E-017,  0.00000000000E+000,  0.24275375477E-017,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.10877290667E-027
"               d 3","               e 3",  0.40000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.38830900298E-031
"               e 3","               f 3",  0.50000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 3","               g 3",  0.60000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.42058251286E-031
"               g 3","               h 3",  0.70000000000E+003,  0.50000000000E+000, -0.10750000000E+003, -0.83380637510E-017,  0.00000000000E+000, -0.83380637510E-017,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.49269720126E-027
"               h 3","               i 3",  0.80000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.58007592880E-017,  0.00000000000E+000,  0.58007592880E-017,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.85681870491E-027
"               i 3","               j 3",  0.90000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.84562742750E-017,  0.00000000000E+000,  0.84562742750E-017,  0.00000000000E+000,  0.00000000000E+000, -0.61529505268E-028,  0.55193791322E-027
"               a 4","               a 3",  0.50000000000E+002,  0.50000000000E+000, -0.11000000000E+003,  0.44550122791E-004,  0.00000000000E+000,  0.44550122791E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22864363697E-022,  0.43522091964E-016
"               b 4","               b 3",  0.15000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44550122789E-004,  0.00000000000E+000,  0.44550122789E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22815140094E-022,  0.43522091930E-016
"               c 4","               c 3",  0.25000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44550122788E-004,  0.00000000000E+000,  0.44550122788E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22839751895E-022,  0.43522092448E-016
"               d 4","               d 3",  0.35000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44550122791E-004,  0.00000000000E+000,  0.44550122791E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22815140094E-022,  0.43522092492E-016
"               e 4","               e 3",  0.45000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44550122791E-004,  0.00000000000E+000,  0.44550122791E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22815140094E-022,  0.43522092492E-016
"               f 4","               f 3",  0.55000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44550122791E-004,  0.00000000000E+000,  0.44550122791E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22815140094E-022,  0.43522092492E-016
"               g 4","               g 3",  0.65000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44550122791E-004,  0.00000000000E+000,  0.44550122791E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22815140094E-022,  0.43522092492E-016
"               h 4","               h 3",  0.75000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44550122786E-004,  0.00000000000E+000,  0.44550122786E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22839751895E-022,  0.43522092294E-016
"               i 4","               i 3",  0.85000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44550122788E-004,  0.00000000000E+000,  0.44550122788E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22839751895E-022,  0.43522091952E-016
"               j 4","               j 3",  0.95000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44550122792E-004,  0.00000000000E+000,  0.44550122792E-004,  0.00000000000E+000, -0.43524086477E-016, -0.22864363697E-022,  0.43522092173E-016
"               a 4","               b 4",  0.10000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.11356653387E-017,  0.00000000000E+000,  0.11356653387E-017,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.22826606045E-034
"               b 4","               c 4",  0.20000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.24064284129E-018,  0.00000000000E+000,  0.24064284129E-018,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.33258606209E-032
"               c 4","               d 4",  0.30000000000E+003,  0.50000000000E+000, -0.11250000000E+003, -0.31030261114E-017,  0.00000000000E+000, -0.31030261114E-017,  0.00000000000E+000,  0.00000000000E+000, -0.61529502789E-028,  0.29610851005E-034
"               d 4","               e 4",  0.40000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.71629768690E-038
"               e 4","               f 4",  0.50000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 4","               g 4",  0.60000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.28651907476E-037
"               g 4","               h 4",  0.70000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.30819170902E-017,  0.00000000000E+000,  0.30819170902E-017,  0.00000000000E+000,  0.00000000000E+000,  0.61529502789E-028, -0.13296009650E-033
"               h 4","               i 4",  0.80000000000E+003,  0.50000000000E+000, -0.11250000000E+003, -0.20686840743E-018,  0.00000000000E+000, -0.20686840743E-018,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.32082660156E-032
"               i 4","               j 4",  0.90000000000E+003,  0.50000000000E+000, -0.11250000000E+003, -0.33774433866E-019,  0.00000000000E+000, -0.33774433866E-019,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.16408214885E-032
"               a 5","               a 4",  0.50000000000E+002,  0.50000000000E+000, -0.11500000000E+003,  0.44274655453E-004,  0.00000000000E+000,  0.44274655453E-004,  0.00000000000E+000,  0.00000000000E+000,  0.19689441796E-024,  0.11673574726E-022
"               b 5","               b 4",  0.15000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44274655454E-004,  0.00000000000E+000,  0.44274655454E-004,  0.00000000000E+000,  0.00000000000E+000,  0.19689441796E-024,  0.11673574717E-022
"               c 5","               c 4",  0.25000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44274655455E-004,  0.00000000000E+000,  0.44274655455E-004,  0.00000000000E+000,  0.00000000000E+000,  0.19689441796E-024,  0.11673576048E-022
"               d 5","               d 4",  0.35000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44274655454E-004,  0.00000000000E+000,  0.44274655454E-004,  0.00000000000E+000,  0.00000000000E+000,  0.17228261572E-024,  0.11673576060E-022
"               e 5","               e 4",  0.45000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44274655454E-004,  0.00000000000E+000,  0.44274655454E-004,  0.00000000000E+000,  0.00000000000E+000,  0.17228261572E-024,  0.11673576060E-022
"               f 5","               f 4",  0.55000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44274655454E-004,  0.00000000000E+000,  0.44274655454E-004,  0.00000000000E+000,  0.00000000000E+000,  0.17228261572E-024,  0.11673576060E-022
"               g 5","               g 4",  0.65000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44274655454E-004,  0.00000000000E+000,  0.44274655454E-004,  0.00000000000E+000,  0.00000000000E+000,  0.17228261572E-024,  0.11673576060E-022
"               h 5","               h 4",  0.75000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44274655455E-004,  0.00000000000E+000,  0.44274655455E-004,  0.00000000000E+000,  0.00000000000E+000,  0.19689441796E-024,  0.11673576006E-022
"               i 5","               i 4",  0.85000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44274655454E-004,  0.00000000000E+000,  0.44274655454E-004,  0.00000000000E+000,  0.00000000000E+000,  0.19689441796E-024,  0.11673574723E-022
"               j 5","               j 4",  0.95000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44274655454E-004,  0.00000000000E+000,  0.44274655454E-004,  0.00000000000E+000,  0.00000000000E+000,  0.19689441796E-024,  0.11673575379E-022
"               a 5","               b 5",  0.10000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.25474937492E-036
"               b 5","               c 5",  0.20000000000E+003,  0.50000000000E+000, -0.11750000000E+003, -0.25879662710E-017,  0.00000000000E+000, -0.25879662710E-017,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.25474937805E-036
"               c 5","               d 5",  0.30000000000E+003,  0.50000000000E+000, -0.11750000000E+003, -0.12665414050E-019,  0.00000000000E+000, -0.12665414050E-019,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.14325953118E-037
"               d 5","               e 5",  0.40000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.14325325388E-037
"               e 5","               f 5",  0.50000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.71629775264E-038
"               f 5","               g 5",  0.60000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.19329346142E-044
"               g 5","               h 5",  0.70000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.12665414050E-019,  0.00000000000E+000,  0.12665414050E-019,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.62966470795E-042
"               h 5","               i 5",  0.80000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.25879662710E-017,  0.00000000000E+000,  0.25879662710E-017,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.71636033236E-038
"               i 5","               j 5",  0.90000000000E+003,  0.50000000000E+000, -0.11750000000E+003, -0.65437972593E-018,  0.00000000000E+000, -0.65437972593E-018,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.71636088572E-038
"TIME [sec]  0.21853043E+05"
"               a 1","               b 1",  0.10000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.32421601971E-014,  0.00000000000E+000,  0.25625783015E-014,  0.67958189560E-015,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               b 1","               c 1",  0.20000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.83766139325E-015,  0.00000000000E+000,  0.66208107553E-015,  0.17558031772E-015,  0.64338048280E-022, -0.67525204557E-022,  0.39268839640E-026
"               c 1","               d 1",  0.30000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.44011422414E-014,  0.00000000000E+000,  0.34786287302E-014,  0.92251351118E-015, -0.64338048280E-022,  0.67525204557E-022, -0.39268839640E-026
"               d 1","               e 1",  0.40000000000E+003,  0.50000000000E+000, -0.97500000000E+002, -0.28230111811E-014,  0.00000000000E+000, -0.22312861666E-014, -0.59172501454E-015,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               e 1","               f 1",  0.50000000000E+003,  0.50000000000E+000, -0.97500000000E+002, -0.21399620457E-018,  0.00000000000E+000, -0.16914094218E-018, -0.44855262390E-019,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 1","               g 1",  0.60000000000E+003,  0.50000000000E+000, -0.97500000000E+002, -0.11441264278E-013,  0.00000000000E+000, -0.90430866453E-014, -0.23981776326E-014,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               g 1","               h 1",  0.70000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.11470817154E-013,  0.00000000000E+000,  0.90664450094E-014,  0.24043721444E-014,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               h 1","               i 1",  0.80000000000E+003,  0.50000000000E+000, -0.97500000000E+002, -0.88188103397E-014,  0.00000000000E+000, -0.69703193697E-014, -0.18484909700E-014,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               i 1","               j 1",  0.90000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.59902620068E-014,  0.00000000000E+000,  0.47346566813E-014,  0.12556053255E-014,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               a 2","               a 1",  0.50000000000E+002,  0.50000000000E+000, -0.10000000000E+003,  0.48335809410E-002,  0.00000000000E+000,  0.38215719323E-002,  0.10120090087E-002, -0.11478513468E-007, -0.23496759069E-013,  0.11478538972E-007
"               b 2","               b 1",  0.15000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.48335809489E-002,  0.00000000000E+000,  0.38215719386E-002,  0.10120090103E-002, -0.11478513468E-007, -0.23496759228E-013,  0.11478538972E-007
"               c 2","               c 1",  0.25000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.48335809424E-002,  0.00000000000E+000,  0.38215719335E-002,  0.10120090090E-002, -0.11478513468E-007, -0.23496785956E-013,  0.11478538972E-007
"               d 2","               d 1",  0.35000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.48335809471E-002,  0.00000000000E+000,  0.38215719371E-002,  0.10120090099E-002, -0.11478513468E-007, -0.23496759194E-013,  0.11478538972E-007
"               e 2","               e 1",  0.45000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.48335809428E-002,  0.00000000000E+000,  0.38215719337E-002,  0.10120090090E-002, -0.11478513468E-007, -0.23496759050E-013,  0.11478538972E-007
"               f 2","               f 1",  0.55000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.48335809428E-002,  0.00000000000E+000,  0.38215719337E-002,  0.10120090090E-002, -0.11478513468E-007, -0.23496759050E-013,  0.11478538972E-007
